,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,compass_1,compass_2,compass_3
5055,52.36,34.96,0.7876,0.1647,-0.5772,-0.1397,145.53,340.66,5.8,354.27
5056,53.71,33.31,0.9041,0.1697,-0.358,-0.1602,89.13,344.36,13.66,356.16
5057,53.86,32.56,0.9496,0.1673,-0.196,-0.1784,51.19,344.06,17.63,354.43
5058,55.36,32.11,0.9625,0.168,-0.1032,-0.1862,30.29,342.82,19.6,357.67
5059,55.66,30.76,0.957,0.1961,0.1164,-0.1792,342.45,335.04,23.16,356.91
5060,57.91,28.21,0.8451,0.2286,0.464,-0.1347,267.44,312.27,39.53,356.29
5061,59.41,26.41,0.667,0.2364,0.7019,-0.0814,232.27,257.29,89.8,357.83
5062,60.47,22.96,0.5855,0.2382,0.7734,-0.0491,236.2,228.9,115.26,359.29
5063,61.07,22.36,0.6423,0.246,0.7238,-0.055,230.95,246.89,97.19,358.31
5064,60.17,22.96,0.7016,0.255,0.6623,-0.0634,232.45,269.05,74.96,359.57
5065,59.41,24.31,0.7026,0.2677,0.6566,-0.0591,233.99,269.29,73.25,359.57
5066,60.32,23.41,0.6877,0.2781,0.6684,-0.0536,234.35,263.93,77.27,359.71
5067,60.47,23.71,0.689,0.2841,0.6649,-0.0508,234.94,264.35,76.1,357.87
5068,61.07,22.36,0.6948,0.2886,0.6573,-0.0445,234.84,266.2,73.33,359.01
5069,62.72,22.96,0.6945,0.2899,0.6577,-0.0341,233.32,265.78,72.8,358.9
5070,61.07,22.81,0.6879,0.2898,0.6652,-0.0175,230.35,262.84,74.41,358.03
5071,60.62,22.36,0.6855,0.2884,0.6685,-0.0007,227.27,261.36,74.65,359.01
5072,60.47,23.71,0.685,0.2892,0.6685,0.0145,224.88,260.8,73.91,0.28
5073,61.37,22.81,0.6828,0.2925,0.669,0.025,223.67,259.73,73.83,357.76
5074,60.77,22.66,0.6818,0.2986,0.6668,0.0361,222.86,259.34,72.79,357.46
5075,60.77,20.41,0.6803,0.3039,0.6649,0.0526,221.03,258.65,71.66,357.46
5076,61.07,22.81,0.6839,0.303,0.6601,0.0691,218.27,260.32,68.73,357.33
5077,62.72,21.91,0.7005,0.296,0.6446,0.0788,216.5,268.86,60.0,357.26
5078,60.17,22.21,0.7141,0.2842,0.6334,0.0894,214.3,277.01,52.0,359.29
5079,59.56,22.36,0.7003,0.269,0.6524,0.1076,207.35,270.99,57.91,359.42
5080,61.07,21.31,0.6828,0.2599,0.6708,0.1272,201.62,259.22,68.87,358.73
5081,61.22,21.91,0.6799,0.2605,0.6703,0.1434,199.07,257.99,68.71,358.88
5082,61.22,20.41,0.7056,0.2676,0.6385,0.151,201.84,282.63,42.77,0.0
5083,62.12,21.01,0.7773,0.2863,0.5435,0.1359,225.35,309.52,15.03,358.06
5084,61.52,22.96,0.8468,0.3088,0.4202,0.105,258.12,316.38,7.44,357.21
5085,60.62,23.41,0.8559,0.3226,0.3932,0.0938,265.64,315.24,7.88,358.3
5086,59.86,24.16,0.8163,0.3294,0.4602,0.1159,248.3,309.83,11.71,358.71
5087,60.32,23.11,0.7676,0.3349,0.5268,0.1452,230.08,301.43,17.88,358.29
5088,61.22,22.66,0.7869,0.3507,0.4895,0.1351,240.22,303.23,15.1,358.18
5089,61.22,22.66,0.8623,0.3771,0.3291,0.0773,282.52,309.77,8.47,358.18
5090,59.86,24.46,0.9078,0.3976,0.1331,0.0076,331.32,312.01,5.45,357.7
5091,59.56,25.96,0.9066,0.4173,0.056,-0.0267,350.91,310.35,5.47,357.26
5092,59.41,25.81,0.8902,0.4456,0.094,-0.0103,341.8,306.34,5.93,356.68
5093,59.11,26.71,0.8661,0.4732,0.1586,0.0264,325.12,301.73,6.29,358.26
5094,59.56,25.66,0.8592,0.4916,0.1406,0.0209,329.6,299.63,6.08,356.97
5095,58.51,25.96,0.8659,0.4977,-0.0055,-0.0503,6.83,300.37,4.69,356.92
5096,58.81,27.76,0.8364,0.4822,-0.2142,-0.1481,60.16,300.8,2.72,356.93
